time,type,measurementId,measurementValue
2023-11-03T01:28:33Z,Light Intensity,4099,0
2023-11-03T01:28:33Z,Rain Gauge,4113,0
2023-11-03T01:28:33Z,UV Index,4190,0
2023-11-03T01:28:33Z,Wind Direction Sensor,4104,112
2023-11-03T01:28:33Z,Wind Speed,4105,0
2023-11-03T01:13:27Z,Air Humidity,4098,99
2023-11-03T01:13:27Z,Air Temperature,4097,12.4
2023-11-03T01:13:27Z,Barometric Pressure,4101,98220
2023-11-03T01:13:27Z,Light Intensity,4099,0
2023-11-03T01:13:27Z,Rain Gauge,4113,1.524
2023-11-03T01:13:27Z,UV Index,4190,0
2023-11-03T01:13:27Z,Wind Direction Sensor,4104,112
2023-11-03T01:13:27Z,Wind Speed,4105,0
2023-11-03T00:58:20Z,Air Humidity,4098,99
2023-11-03T00:58:20Z,Air Temperature,4097,12.6
2023-11-03T00:58:20Z,Barometric Pressure,4101,98190
2023-11-03T00:58:20Z,Light Intensity,4099,0
2023-11-03T00:58:20Z,Rain Gauge,4113,0
2023-11-03T00:58:20Z,UV Index,4190,0
2023-11-03T00:58:20Z,Wind Direction Sensor,4104,112
2023-11-03T00:58:20Z,Wind Speed,4105,0
2023-11-03T00:43:14Z,Air Humidity,4098,99
2023-11-03T00:43:14Z,Air Temperature,4097,12.8
2023-11-03T00:43:14Z,Barometric Pressure,4101,98270
2023-11-03T00:43:14Z,Light Intensity,4099,0
2023-11-03T00:43:14Z,Rain Gauge,4113,0
2023-11-03T00:43:14Z,UV Index,4190,0
2023-11-03T00:43:14Z,Wind Direction Sensor,4104,112
2023-11-03T00:43:14Z,Wind Speed,4105,0
2023-11-03T00:28:08Z,Air Humidity,4098,99
2023-11-03T00:28:08Z,Air Temperature,4097,12.8
2023-11-03T00:28:08Z,Barometric Pressure,4101,98160
2023-11-03T00:28:08Z,Light Intensity,4099,0
2023-11-03T00:28:08Z,Rain Gauge,4113,0
2023-11-03T00:28:08Z,UV Index,4190,0
2023-11-03T00:28:08Z,Wind Direction Sensor,4104,112
2023-11-03T00:28:08Z,Wind Speed,4105,0
2023-11-03T00:13:01Z,Air Humidity,4098,99
2023-11-03T00:13:01Z,Air Temperature,4097,12.8
2023-11-03T00:13:01Z,Barometric Pressure,4101,98290
2023-11-03T00:13:01Z,Light Intensity,4099,0
2023-11-03T00:13:01Z,Rain Gauge,4113,0
2023-11-03T00:13:01Z,UV Index,4190,0
2023-11-03T00:13:01Z,Wind Direction Sensor,4104,112
2023-11-03T00:13:01Z,Wind Speed,4105,0
2023-11-02T23:57:55Z,Air Humidity,4098,99
2023-11-02T23:57:55Z,Air Temperature,4097,12.7
2023-11-02T23:57:55Z,Barometric Pressure,4101,98280
2023-11-02T23:57:55Z,Light Intensity,4099,0
2023-11-02T23:57:55Z,Rain Gauge,4113,0
2023-11-02T23:57:55Z,UV Index,4190,0
2023-11-02T23:57:55Z,Wind Direction Sensor,4104,112
2023-11-02T23:57:55Z,Wind Speed,4105,0
2023-11-02T23:42:49Z,Air Humidity,4098,99
2023-11-02T23:42:49Z,Air Temperature,4097,12.8
2023-11-02T23:42:49Z,Barometric Pressure,4101,98240
2023-11-02T23:42:49Z,Light Intensity,4099,0
2023-11-02T23:42:49Z,Rain Gauge,4113,0
2023-11-02T23:42:49Z,UV Index,4190,0
2023-11-02T23:42:49Z,Wind Direction Sensor,4104,112
2023-11-02T23:42:49Z,Wind Speed,4105,0
2023-11-02T23:27:43Z,Air Humidity,4098,99
2023-11-02T23:27:43Z,Air Temperature,4097,13
2023-11-02T23:27:43Z,Barometric Pressure,4101,98400
2023-11-02T23:27:43Z,Light Intensity,4099,0
2023-11-02T23:27:43Z,Rain Gauge,4113,1.524
2023-11-02T23:27:43Z,UV Index,4190,0
2023-11-02T23:27:43Z,Wind Direction Sensor,4104,112
2023-11-02T23:27:43Z,Wind Speed,4105,0
2023-11-02T23:12:36Z,Air Humidity,4098,99
2023-11-02T23:12:36Z,Air Temperature,4097,13.4
2023-11-02T23:12:36Z,Barometric Pressure,4101,98330
2023-11-02T23:12:36Z,Light Intensity,4099,0
2023-11-02T23:12:36Z,Rain Gauge,4113,6.096
2023-11-02T23:12:36Z,UV Index,4190,0
2023-11-02T23:12:36Z,Wind Direction Sensor,4104,112
2023-11-02T23:12:36Z,Wind Speed,4105,0
2023-11-02T22:57:30Z,Air Humidity,4098,99
2023-11-02T22:57:30Z,Air Temperature,4097,13.5
2023-11-02T22:57:30Z,Barometric Pressure,4101,98410
2023-11-02T22:57:30Z,Light Intensity,4099,0
2023-11-02T22:57:30Z,Rain Gauge,4113,3.048
2023-11-02T22:57:30Z,UV Index,4190,0
2023-11-02T22:57:30Z,Wind Direction Sensor,4104,112
2023-11-02T22:57:30Z,Wind Speed,4105,0
2023-11-02T22:42:23Z,Air Humidity,4098,99
2023-11-02T22:42:23Z,Air Temperature,4097,13.6
2023-11-02T22:42:23Z,Barometric Pressure,4101,98450
2023-11-02T22:42:23Z,Light Intensity,4099,0
2023-11-02T22:42:23Z,Rain Gauge,4113,3.048
2023-11-02T22:42:23Z,UV Index,4190,0
2023-11-02T22:42:23Z,Wind Direction Sensor,4104,112
2023-11-02T22:42:23Z,Wind Speed,4105,0
2023-11-02T22:27:18Z,Air Humidity,4098,99
2023-11-02T22:27:18Z,Air Temperature,4097,13.6
2023-11-02T22:27:18Z,Barometric Pressure,4101,98470
2023-11-02T22:27:18Z,Light Intensity,4099,0
2023-11-02T22:27:18Z,Rain Gauge,4113,4.572
2023-11-02T22:27:18Z,UV Index,4190,0
2023-11-02T22:27:18Z,Wind Direction Sensor,4104,112
2023-11-02T22:27:18Z,Wind Speed,4105,0
2023-11-02T22:12:11Z,Air Humidity,4098,99
2023-11-02T22:12:11Z,Air Temperature,4097,13.8
2023-11-02T22:12:11Z,Barometric Pressure,4101,98460
2023-11-02T22:12:11Z,Light Intensity,4099,0
2023-11-02T22:12:11Z,Rain Gauge,4113,1.524
2023-11-02T22:12:11Z,UV Index,4190,0
2023-11-02T22:12:11Z,Wind Direction Sensor,4104,112
2023-11-02T22:12:11Z,Wind Speed,4105,0
2023-11-02T21:57:06Z,Air Humidity,4098,99
2023-11-02T21:57:06Z,Air Temperature,4097,13.8
2023-11-02T21:57:06Z,Light Intensity,4099,0
2023-11-02T21:57:06Z,UV Index,4190,0
2023-11-02T21:57:06Z,Wind Speed,4105,0
2023-11-02T21:57:06Z,NA,NA,NA
2023-11-02T21:56:55Z,Air Humidity,4098,99
2023-11-02T21:56:55Z,Air Temperature,4097,13.8
2023-11-02T21:56:55Z,Light Intensity,4099,0
2023-11-02T21:56:55Z,UV Index,4190,0
2023-11-02T21:56:55Z,Wind Speed,4105,0
2023-11-02T21:56:55Z,NA,NA,NA
2023-11-02T21:36:23Z,Air Humidity,4098,99
2023-11-02T21:36:23Z,Air Temperature,4097,13.8
2023-11-02T21:36:23Z,Barometric Pressure,4101,98260
2023-11-02T21:36:23Z,Light Intensity,4099,0
2023-11-02T21:36:23Z,Rain Gauge,4113,0
2023-11-02T21:36:23Z,UV Index,4190,0
2023-11-02T21:36:23Z,Wind Direction Sensor,4104,114
2023-11-02T21:36:23Z,Wind Speed,4105,0
2023-11-02T21:21:16Z,Air Humidity,4098,99
2023-11-02T21:21:16Z,Air Temperature,4097,14
2023-11-02T21:21:16Z,Barometric Pressure,4101,98290
2023-11-02T21:21:16Z,Light Intensity,4099,0
2023-11-02T21:21:16Z,Rain Gauge,4113,1.524
2023-11-02T21:21:16Z,UV Index,4190,0
2023-11-02T21:21:16Z,Wind Direction Sensor,4104,114
2023-11-02T21:21:16Z,Wind Speed,4105,0
2023-11-02T21:06:10Z,Air Humidity,4098,99
2023-11-02T21:06:10Z,Air Temperature,4097,14
2023-11-02T21:06:10Z,Barometric Pressure,4101,98290
2023-11-02T21:06:10Z,Light Intensity,4099,0
2023-11-02T21:06:10Z,Rain Gauge,4113,0
2023-11-02T21:06:10Z,UV Index,4190,0
2023-11-02T21:06:10Z,Wind Direction Sensor,4104,114
2023-11-02T21:06:10Z,Wind Speed,4105,0
2023-11-02T20:51:04Z,Air Humidity,4098,99
2023-11-02T20:51:04Z,Air Temperature,4097,14
2023-11-02T20:51:04Z,Barometric Pressure,4101,98280
2023-11-02T20:51:04Z,Light Intensity,4099,0
2023-11-02T20:51:04Z,Rain Gauge,4113,0
2023-11-02T20:51:04Z,UV Index,4190,0
2023-11-02T20:51:04Z,Wind Direction Sensor,4104,114
2023-11-02T20:51:04Z,Wind Speed,4105,0
2023-11-02T20:35:57Z,Air Humidity,4098,99
2023-11-02T20:35:57Z,Air Temperature,4097,13.8
2023-11-02T20:35:57Z,Barometric Pressure,4101,98310
2023-11-02T20:35:57Z,Light Intensity,4099,0
2023-11-02T20:35:57Z,Rain Gauge,4113,0
2023-11-02T20:35:57Z,UV Index,4190,0
2023-11-02T20:35:57Z,Wind Direction Sensor,4104,114
2023-11-02T20:35:57Z,Wind Speed,4105,0
2023-11-02T20:20:51Z,Air Humidity,4098,99
2023-11-02T20:20:51Z,Air Temperature,4097,13.8
2023-11-02T20:20:51Z,Barometric Pressure,4101,98330
2023-11-02T20:20:51Z,Light Intensity,4099,0
2023-11-02T20:20:51Z,Rain Gauge,4113,0
2023-11-02T20:20:51Z,UV Index,4190,0
2023-11-02T20:20:51Z,Wind Direction Sensor,4104,114
2023-11-02T20:20:51Z,Wind Speed,4105,0
2023-11-02T20:05:45Z,Air Humidity,4098,99
2023-11-02T20:05:45Z,Air Temperature,4097,13.9
2023-11-02T20:05:45Z,Barometric Pressure,4101,98250
2023-11-02T20:05:45Z,Light Intensity,4099,0
2023-11-02T20:05:45Z,Rain Gauge,4113,0
2023-11-02T20:05:45Z,UV Index,4190,0
2023-11-02T20:05:45Z,Wind Direction Sensor,4104,114
2023-11-02T20:05:45Z,Wind Speed,4105,0
2023-11-02T19:50:24Z,Air Humidity,4098,99
2023-11-02T19:50:24Z,Air Temperature,4097,14.1
2023-11-02T19:50:24Z,Barometric Pressure,4101,98430
2023-11-02T19:50:24Z,Light Intensity,4099,0
2023-11-02T19:50:24Z,Rain Gauge,4113,1.524
2023-11-02T19:50:24Z,UV Index,4190,0
2023-11-02T19:50:24Z,Wind Direction Sensor,4104,114
2023-11-02T19:50:24Z,Wind Speed,4105,0
2023-11-02T19:50:09Z,Air Humidity,4098,99
2023-11-02T19:50:09Z,Air Temperature,4097,14.1
2023-11-02T19:50:09Z,Barometric Pressure,4101,98430
2023-11-02T19:50:09Z,Light Intensity,4099,0
2023-11-02T19:50:09Z,Rain Gauge,4113,1.524
2023-11-02T19:50:09Z,UV Index,4190,0
2023-11-02T19:50:09Z,Wind Direction Sensor,4104,114
2023-11-02T19:50:09Z,Wind Speed,4105,0
2023-11-02T19:35:02Z,Air Humidity,4098,99
2023-11-02T19:35:02Z,Air Temperature,4097,14.1
2023-11-02T19:35:02Z,Barometric Pressure,4101,98440
2023-11-02T19:35:02Z,Light Intensity,4099,0
2023-11-02T19:35:02Z,Rain Gauge,4113,13.716
2023-11-02T19:35:02Z,UV Index,4190,0
2023-11-02T19:35:02Z,Wind Direction Sensor,4104,114
2023-11-02T19:35:02Z,Wind Speed,4105,0
2023-11-02T19:19:56Z,Air Humidity,4098,99
2023-11-02T19:19:56Z,Air Temperature,4097,14.1
2023-11-02T19:19:56Z,Barometric Pressure,4101,98410
2023-11-02T19:19:56Z,Light Intensity,4099,0
2023-11-02T19:19:56Z,Rain Gauge,4113,7.62
2023-11-02T19:19:56Z,UV Index,4190,0
2023-11-02T19:19:56Z,Wind Direction Sensor,4104,114
2023-11-02T19:19:56Z,Wind Speed,4105,0
2023-11-02T19:04:49Z,Air Humidity,4098,99
2023-11-02T19:04:49Z,Air Temperature,4097,14
2023-11-02T19:04:49Z,Barometric Pressure,4101,98380
2023-11-02T19:04:49Z,Light Intensity,4099,0
2023-11-02T19:04:49Z,Rain Gauge,4113,3.048
2023-11-02T19:04:49Z,UV Index,4190,0
2023-11-02T19:04:49Z,Wind Direction Sensor,4104,114
2023-11-02T19:04:49Z,Wind Speed,4105,0
2023-11-02T18:49:43Z,Air Humidity,4098,99
2023-11-02T18:49:43Z,Air Temperature,4097,14
2023-11-02T18:49:43Z,Barometric Pressure,4101,98400
2023-11-02T18:49:43Z,Light Intensity,4099,0
2023-11-02T18:49:43Z,Rain Gauge,4113,1.524
2023-11-02T18:49:43Z,UV Index,4190,0
2023-11-02T18:49:43Z,Wind Direction Sensor,4104,114
2023-11-02T18:49:43Z,Wind Speed,4105,0
2023-11-02T18:34:37Z,Air Humidity,4098,99
2023-11-02T18:34:37Z,Air Temperature,4097,13.9
2023-11-02T18:34:37Z,Barometric Pressure,4101,98400
2023-11-02T18:34:37Z,Light Intensity,4099,0
